symbol,mcap,rank,bucket
RELIANCE.NS,18839907598336,1,Large
HDFCBANK.NS,12816257908736,2,Large
BHARTIARTL.NS,10972568748032,3,Large
SBIN.NS,10017065402368,4,Large
ICICIBANK.NS,9064812642304,5,Large
TCS.NS,8836816568320,6,Large
BAJFINANCE.NS,5365327986688,7,Large
INFY.NS,5121941962752,8,Large
LT.NS,5116586885120,9,Large
LICI.NS,5038809284608,10,Large
HINDUNILVR.NS,5021570695168,11,Large
SUNPHARMA.NS,4379506114560,12,Large
MARUTI.NS,4090691584000,13,Large
AXISBANK.NS,3835874770944,14,Large
ITC.NS,3810138783744,15,Large
NTPC.NS,3787033149440,16,Large
KOTAKBANK.NS,3732543111168,17,Large
HCLTECH.NS,3674546634752,18,Large
TITAN.NS,3663142060032,19,Large
M&M.NS,3638873292800,20,Large
ONGC.NS,3403594334208,21,Large
BEL.NS,3315350110208,22,Large
ULTRACEMCO.NS,3262094245888,23,Large
ADANIPORTS.NS,3205958991872,24,Large
COALINDIA.NS,2897098571776,25,Large
ADANIPOWER.NS,2875741700096,26,Large
JSWSTEEL.NS,2864499654656,27,Large
BAJAJFINSV.NS,2828848070656,28,Large
POWERGRID.NS,2823663386624,29,Large
VEDL.NS,2812319629312,30,Large
ADANIENT.NS,2726590414848,31,Large
HAL.NS,2684128329728,32,Large
DMART.NS,2572738363392,33,Large
BAJAJ-AUTO.NS,2558511808512,34,Large
HINDZINC.NS,2463360876544,35,Large
TATASTEEL.NS,2412928565248,36,Large
NESTLEIND.NS,2354086150144,37,Large
IOC.NS,2261657583616,38,Large
HINDALCO.NS,2168240078848,39,Large
ASIANPAINT.NS,2129229643776,40,Large
WIPRO.NS,2121823420416,41,Large
ETERNAL.NS,2015333318656,42,Large
SBILIFE.NS,1945250693120,43,Large
SHRIRAMFIN.NS,1941172387840,44,Large
EICHERMOT.NS,1913478709248,45,Large
GRASIM.NS,1812609761280,46,Large
DIVISLAB.NS,1667673620480,47,Large
INDIGO.NS,1643761762304,48,Large
TVSMOTOR.NS,1625598459904,49,Large
HYUNDAI.NS,1620775796736,50,Large
JIOFIN.NS,1538730885120,51,Large
TORNTPHARM.NS,1504728449024,52,Large
BANKBARODA.NS,1495557996544,53,Large
ADANIGREEN.NS,1427360448512,54,Large
BPCL.NS,1415871332352,55,Large
PIDILITIND.NS,1412049010688,56,Large
BRITANNIA.NS,1393904844800,57,Large
HDFCLIFE.NS,1392824025088,58,Large
UNIONBANK.NS,1390441267200,59,Large
VBL.NS,1390209794048,60,Large
DLF.NS,1381973884928,61,Large
PFC.NS,1372512190464,62,Large
ABB.NS,1358199652352,63,Large
PNB.NS,1340408987648,64,Large
CUMMINSIND.NS,1317698011136,65,Large
SOLARINDS.NS,1314368126976,66,Large
IRFC.NS,1306058031104,67,Large
MUTHOOTFIN.NS,1303098294272,68,Large
CHOLAFIN.NS,1300007616512,69,Large
TATAPOWER.NS,1285005770752,70,Large
LTM.NS,1281682178048,71,Large
CANBK.NS,1272975196160,72,Large
MOTHERSON.NS,1268327383040,73,Large
TRENT.NS,1256150532096,74,Large
JINDALSTEL.NS,1246422892544,75,Large
INDIANB.NS,1225637494784,76,Large
ADANIENSOL.NS,1208799723520,77,Large
TECHM.NS,1195542708224,78,Large
TMPV.NS,1195115544576,79,Large
SIEMENS.NS,1183993823232,80,Large
INDUSTOWER.NS,1165753581568,81,Large
CGPOWER.NS,1161184542720,82,Large
BSE.NS,1157711659008,83,Large
POLYCAB.NS,1123531096064,84,Large
POWERINDIA.NS,1109781118976,85,Large
